machine_code,unit_number,data_date,sampled_at_jst,original_slump_value,chained_slump_value,hours_from_origin,is_day_start
M0031,2016,2026-08-14,2026-08-14T10:54:41+09:00,0,0,0.0000,1
M0031,2016,2026-08-14,2026-08-14T11:29:45+09:00,300,300,0.5844,0
M0031,2016,2026-08-14,2026-08-14T12:04:15+09:00,1300,1300,1.1594,0
M0031,2016,2026-08-14,2026-08-14T12:37:28+09:00,800,800,1.7131,0
M0031,2016,2026-08-14,2026-08-14T13:06:37+09:00,500,500,2.1989,0
M0031,2016,2026-08-14,2026-08-14T13:35:02+09:00,700,700,2.6725,0
M0031,2016,2026-08-14,2026-08-14T14:10:37+09:00,2500,2500,3.2656,0
M0031,2016,2026-08-14,2026-08-14T14:55:41+09:00,3300,3300,4.0167,0
M0031,2016,2026-08-14,2026-08-14T15:31:41+09:00,4100,4100,4.6167,0
M0031,2016,2026-08-14,2026-08-14T16:41:57+09:00,3900,3900,5.7878,0
M0031,2016,2026-08-14,2026-08-14T17:30:37+09:00,3300,3300,6.5989,0
M0031,2016,2026-08-14,2026-08-14T18:07:43+09:00,4100,4100,7.2172,0
M0031,2016,2026-08-14,2026-08-14T18:43:04+09:00,4800,4800,7.8064,0
M0031,2016,2026-08-14,2026-08-14T19:31:33+09:00,5600,5600,8.6144,0
M0031,2016,2026-08-14,2026-08-14T20:09:17+09:00,5300,5300,9.2433,0
M0031,2016,2026-08-14,2026-08-14T20:55:41+09:00,6000,6000,10.0167,0
M0031,2016,2026-08-14,2026-08-14T21:33:02+09:00,6500,6500,10.6392,0
M0031,2016,2026-08-14,2026-08-14T22:11:45+09:00,6200,6200,11.2844,0
M0031,2016,2026-08-15,2026-08-15T10:54:13+09:00,0,6200,11.2844,1
M0031,2016,2026-08-15,2026-08-15T11:29:09+09:00,-400,5800,11.8667,0
M0031,2016,2026-08-15,2026-08-15T12:03:27+09:00,-1000,5200,12.4383,0
M0031,2016,2026-08-15,2026-08-15T12:36:37+09:00,-900,5300,12.9911,0
M0031,2016,2026-08-15,2026-08-15T13:08:49+09:00,-700,5500,13.5278,0
