data_date,sampled_at_jst,original_avg_slump_value,chained_avg_slump_value,hours_from_origin,is_day_start
2026-08-14,2026-08-14T11:00:00+09:00,-108,-108,0.0000,1
2026-08-14,2026-08-14T11:20:00+09:00,-108,-108,0.3333,0
2026-08-14,2026-08-14T11:40:00+09:00,-242,-242,0.6667,0
2026-08-14,2026-08-14T12:00:00+09:00,-242,-242,1.0000,0
2026-08-14,2026-08-14T12:20:00+09:00,-288,-288,1.3333,0
2026-08-14,2026-08-14T12:40:00+09:00,-284,-284,1.6667,0
2026-08-14,2026-08-14T13:00:00+09:00,-284,-284,2.0000,0
2026-08-14,2026-08-14T13:20:00+09:00,-328,-328,2.3333,0
2026-08-14,2026-08-14T13:40:00+09:00,-364,-364,2.6667,0
2026-08-14,2026-08-14T14:00:00+09:00,-364,-364,3.0000,0
2026-08-14,2026-08-14T14:20:00+09:00,-312,-312,3.3333,0
2026-08-14,2026-08-14T14:40:00+09:00,-312,-312,3.6667,0
2026-08-14,2026-08-14T15:00:00+09:00,-304,-304,4.0000,0
2026-08-14,2026-08-14T15:20:00+09:00,-304,-304,4.3333,0
2026-08-14,2026-08-14T15:40:00+09:00,-226,-226,4.6667,0
2026-08-14,2026-08-14T16:00:00+09:00,-226,-226,5.0000,0
2026-08-14,2026-08-14T16:20:00+09:00,-88,-88,5.3333,0
2026-08-14,2026-08-14T16:40:00+09:00,-88,-88,5.6667,0
2026-08-14,2026-08-14T17:00:00+09:00,-66,-66,6.0000,0
2026-08-14,2026-08-14T17:20:00+09:00,-66,-66,6.3333,0
2026-08-14,2026-08-14T17:40:00+09:00,-66,-66,6.6667,0
2026-08-14,2026-08-14T18:00:00+09:00,-66,-66,7.0000,0
2026-08-14,2026-08-14T18:20:00+09:00,-12,-12,7.3333,0
2026-08-14,2026-08-14T18:40:00+09:00,-12,-12,7.6667,0
2026-08-14,2026-08-14T19:00:00+09:00,38,38,8.0000,0
2026-08-14,2026-08-14T19:20:00+09:00,38,38,8.3333,0
2026-08-14,2026-08-14T19:40:00+09:00,-28,-28,8.6667,0
2026-08-14,2026-08-14T20:00:00+09:00,-28,-28,9.0000,0
2026-08-14,2026-08-14T20:20:00+09:00,-22,-22,9.3333,0
2026-08-14,2026-08-14T20:40:00+09:00,-22,-22,9.6667,0
2026-08-14,2026-08-14T21:00:00+09:00,54,54,10.0000,0
2026-08-14,2026-08-14T21:20:00+09:00,54,54,10.3333,0
2026-08-14,2026-08-14T21:40:00+09:00,112,112,10.6667,0
2026-08-14,2026-08-14T22:00:00+09:00,112,112,11.0000,0
2026-08-14,2026-08-14T22:20:00+09:00,300,300,11.3333,0
2026-08-14,2026-08-14T22:40:00+09:00,300,300,11.6667,0
2026-08-14,2026-08-14T23:00:00+09:00,300,300,12.0000,0
2026-08-14,2026-08-14T23:20:00+09:00,406,406,12.3333,0
2026-08-14,2026-08-14T23:40:00+09:00,454,454,12.6667,0
2026-08-15,2026-08-15T11:00:00+09:00,-98,454,12.6667,1
2026-08-15,2026-08-15T11:20:00+09:00,-98,454,13.0000,0
2026-08-15,2026-08-15T11:40:00+09:00,-232,320,13.3333,0
2026-08-15,2026-08-15T12:00:00+09:00,-232,320,13.6667,0
2026-08-15,2026-08-15T12:20:00+09:00,-342,210,14.0000,0
2026-08-15,2026-08-15T12:40:00+09:00,-344,208,14.3333,0
2026-08-15,2026-08-15T13:00:00+09:00,-344,208,14.6667,0
2026-08-15,2026-08-15T13:20:00+09:00,-396,156,15.0000,0
2026-08-15,2026-08-15T13:40:00+09:00,-396,156,15.3333,0
2026-08-15,2026-08-15T14:00:00+09:00,-396,156,15.6667,0
2026-08-15,2026-08-15T14:20:00+09:00,-378,174,16.0000,0
2026-08-15,2026-08-15T14:40:00+09:00,-310,242,16.3333,0
2026-08-15,2026-08-15T15:00:00+09:00,-310,242,16.6667,0
2026-08-15,2026-08-15T15:20:00+09:00,-344,208,17.0000,0
2026-08-15,2026-08-15T15:40:00+09:00,-344,208,17.3333,0
2026-08-15,2026-08-15T16:00:00+09:00,-304,248,17.6667,0
2026-08-15,2026-08-15T16:20:00+09:00,-304,248,18.0000,0
2026-08-15,2026-08-15T16:40:00+09:00,-404,148,18.3333,0
2026-08-15,2026-08-15T17:00:00+09:00,-404,148,18.6667,0
2026-08-15,2026-08-15T17:20:00+09:00,-416,136,19.0000,0
2026-08-15,2026-08-15T17:40:00+09:00,-416,136,19.3333,0
2026-08-15,2026-08-15T18:00:00+09:00,-414,138,19.6667,0
2026-08-15,2026-08-15T18:20:00+09:00,-414,138,20.0000,0
2026-08-15,2026-08-15T18:40:00+09:00,-354,198,20.3333,0
2026-08-15,2026-08-15T19:00:00+09:00,-354,198,20.6667,0
2026-08-15,2026-08-15T19:20:00+09:00,-156,396,21.0000,0
2026-08-15,2026-08-15T19:40:00+09:00,-156,396,21.3333,0
2026-08-15,2026-08-15T20:00:00+09:00,-156,396,21.6667,0
2026-08-15,2026-08-15T20:20:00+09:00,-142,410,22.0000,0
2026-08-15,2026-08-15T20:40:00+09:00,-128,424,22.3333,0
2026-08-15,2026-08-15T21:00:00+09:00,-128,424,22.6667,0
2026-08-15,2026-08-15T21:20:00+09:00,-128,424,23.0000,0
2026-08-15,2026-08-15T21:40:00+09:00,-84,468,23.3333,0
2026-08-15,2026-08-15T22:00:00+09:00,-84,468,23.6667,0
2026-08-15,2026-08-15T22:20:00+09:00,-42,510,24.0000,0
2026-08-15,2026-08-15T22:40:00+09:00,-42,510,24.3333,0
2026-08-15,2026-08-15T23:00:00+09:00,-4,548,24.6667,0
2026-08-15,2026-08-15T23:20:00+09:00,-4,548,25.0000,0
2026-08-15,2026-08-15T23:40:00+09:00,8,560,25.3333,0
2026-08-16,2026-08-16T11:00:00+09:00,-92,560,25.3333,1
2026-08-16,2026-08-16T11:20:00+09:00,-92,560,25.6667,0
2026-08-16,2026-08-16T11:40:00+09:00,-206,446,26.0000,0
2026-08-16,2026-08-16T12:00:00+09:00,-206,446,26.3333,0
2026-08-16,2026-08-16T12:20:00+09:00,-298,354,26.6667,0
2026-08-16,2026-08-16T12:40:00+09:00,-338,314,27.0000,0
2026-08-16,2026-08-16T13:00:00+09:00,-338,314,27.3333,0
2026-08-16,2026-08-16T13:20:00+09:00,-546,106,27.6667,0
2026-08-16,2026-08-16T13:40:00+09:00,-582,70,28.0000,0
2026-08-16,2026-08-16T14:00:00+09:00,-582,70,28.3333,0
2026-08-16,2026-08-16T14:20:00+09:00,-604,48,28.6667,0
2026-08-16,2026-08-16T14:40:00+09:00,-604,48,29.0000,0
2026-08-16,2026-08-16T15:00:00+09:00,-532,120,29.3333,0
2026-08-16,2026-08-16T15:20:00+09:00,-532,120,29.6667,0
2026-08-16,2026-08-16T15:40:00+09:00,-370,282,30.0000,0
2026-08-16,2026-08-16T16:00:00+09:00,-370,282,30.3333,0
2026-08-16,2026-08-16T16:20:00+09:00,-338,314,30.6667,0
2026-08-16,2026-08-16T16:40:00+09:00,-476,176,31.0000,0
