data_date,sampled_at_jst,avg_slump_value,machine_count
2026-08-11,2026-08-11T11:00:00+09:00,-93,30
2026-08-11,2026-08-11T11:20:00+09:00,-93,30
2026-08-11,2026-08-11T11:40:00+09:00,-377,30
2026-08-11,2026-08-11T12:00:00+09:00,-377,30
2026-08-11,2026-08-11T12:20:00+09:00,-390,30
2026-08-11,2026-08-11T12:40:00+09:00,-310,30
2026-08-11,2026-08-11T13:00:00+09:00,-310,30
2026-08-11,2026-08-11T13:20:00+09:00,-483,30
2026-08-11,2026-08-11T13:40:00+09:00,-647,30
2026-08-11,2026-08-11T14:00:00+09:00,-647,30
2026-08-11,2026-08-11T14:20:00+09:00,-517,30
2026-08-11,2026-08-11T14:40:00+09:00,-517,30
2026-08-11,2026-08-11T15:00:00+09:00,-717,30
2026-08-11,2026-08-11T15:20:00+09:00,-717,30
2026-08-11,2026-08-11T15:40:00+09:00,-907,30
2026-08-11,2026-08-11T16:00:00+09:00,-907,30
2026-08-11,2026-08-11T16:20:00+09:00,-953,30
2026-08-11,2026-08-11T16:40:00+09:00,-953,30
2026-08-11,2026-08-11T17:00:00+09:00,-1093,30
2026-08-11,2026-08-11T17:20:00+09:00,-1093,30
2026-08-11,2026-08-11T17:40:00+09:00,-1107,30
2026-08-11,2026-08-11T18:00:00+09:00,-1107,30
2026-08-11,2026-08-11T18:20:00+09:00,-1113,30
2026-08-11,2026-08-11T18:40:00+09:00,-1113,30
2026-08-11,2026-08-11T19:00:00+09:00,-960,30
2026-08-11,2026-08-11T19:20:00+09:00,-960,30
2026-08-11,2026-08-11T19:40:00+09:00,-1073,30
2026-08-11,2026-08-11T20:00:00+09:00,-1073,30
2026-08-11,2026-08-11T20:20:00+09:00,-853,30
2026-08-11,2026-08-11T20:40:00+09:00,-853,30
2026-08-11,2026-08-11T21:00:00+09:00,-853,30
2026-08-11,2026-08-11T21:20:00+09:00,-740,30
2026-08-11,2026-08-11T21:40:00+09:00,-620,30
2026-08-11,2026-08-11T22:00:00+09:00,-620,30
2026-08-11,2026-08-11T22:20:00+09:00,-620,30
2026-08-11,2026-08-11T22:40:00+09:00,-613,30
2026-08-11,2026-08-11T23:00:00+09:00,-613,30
2026-08-11,2026-08-11T23:20:00+09:00,-630,30
2026-08-11,2026-08-11T23:40:00+09:00,-630,30
2026-08-11,2026-08-12T00:00:00+09:00,-633,30
2026-08-12,2026-08-12T11:00:00+09:00,-70,30
2026-08-12,2026-08-12T11:20:00+09:00,-70,30
2026-08-12,2026-08-12T11:40:00+09:00,-143,30
2026-08-12,2026-08-12T12:00:00+09:00,-143,30
2026-08-12,2026-08-12T12:20:00+09:00,-210,30
2026-08-12,2026-08-12T12:40:00+09:00,-293,30
2026-08-12,2026-08-12T13:00:00+09:00,-293,30
2026-08-12,2026-08-12T13:20:00+09:00,-177,30
2026-08-12,2026-08-12T13:40:00+09:00,3,30
2026-08-12,2026-08-12T14:00:00+09:00,3,30
2026-08-12,2026-08-12T14:20:00+09:00,270,30
2026-08-12,2026-08-12T14:40:00+09:00,270,30
2026-08-12,2026-08-12T15:00:00+09:00,117,30
2026-08-12,2026-08-12T15:20:00+09:00,117,30
2026-08-12,2026-08-12T15:40:00+09:00,-27,30
2026-08-12,2026-08-12T16:00:00+09:00,-27,30
2026-08-12,2026-08-12T16:20:00+09:00,-67,30
2026-08-12,2026-08-12T16:40:00+09:00,-7,30
2026-08-12,2026-08-12T17:00:00+09:00,-7,30
2026-08-12,2026-08-12T17:20:00+09:00,43,30
2026-08-12,2026-08-12T17:40:00+09:00,-93,30
2026-08-12,2026-08-12T18:00:00+09:00,-93,30
2026-08-12,2026-08-12T18:20:00+09:00,-3,30
2026-08-12,2026-08-12T18:40:00+09:00,-3,30
2026-08-12,2026-08-12T19:00:00+09:00,-3,30
2026-08-12,2026-08-12T19:20:00+09:00,187,30
2026-08-12,2026-08-12T19:40:00+09:00,210,30
2026-08-12,2026-08-12T20:00:00+09:00,210,30
2026-08-12,2026-08-12T20:20:00+09:00,97,30
2026-08-12,2026-08-12T20:40:00+09:00,97,30
2026-08-12,2026-08-12T21:00:00+09:00,97,30
2026-08-12,2026-08-12T21:20:00+09:00,190,30
2026-08-12,2026-08-12T21:40:00+09:00,347,30
2026-08-12,2026-08-12T22:00:00+09:00,347,30
2026-08-12,2026-08-12T22:20:00+09:00,347,30
2026-08-12,2026-08-12T22:40:00+09:00,327,30
2026-08-12,2026-08-12T23:00:00+09:00,327,30
2026-08-12,2026-08-12T23:20:00+09:00,327,30
2026-08-12,2026-08-12T23:40:00+09:00,327,30
2026-08-12,2026-08-13T00:00:00+09:00,313,30
2026-08-13,2026-08-13T11:00:00+09:00,-80,30
2026-08-13,2026-08-13T11:20:00+09:00,-80,30
