machine_id,source_system,store_id,store_name,model,machine_type,unit,play_rate_yen,valid_from,valid_to
M0001,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3075,21.7,,
M0002,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3076,21.7,,
M0003,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3077,21.7,,
M0004,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3078,21.7,,
M0005,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3079,21.7,,
M0006,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3080,21.7,,
M0007,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3081,21.7,,
M0008,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3082,21.7,,
M0009,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3083,21.7,,
M0010,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3084,21.7,,
M0011,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3085,21.7,,
M0012,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3086,21.7,,
M0013,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3087,21.7,,
M0014,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3150,21.7,,
M0015,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3151,21.7,,
M0016,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3152,21.7,,
M0017,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3153,21.7,,
M0018,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3154,21.7,,
M0019,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3155,21.7,,
M0020,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3156,21.7,,
M0021,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3157,21.7,,
M0022,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3158,21.7,,
M0023,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3159,21.7,,
M0024,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3160,21.7,,
M0025,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3161,21.7,,
M0026,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3162,21.7,,
M0027,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3163,21.7,,
M0028,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3164,21.7,,
M0029,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3165,21.7,,
M0030,daidata,100928,エスパス日拓秋葉原駅前店,L ToLOVEるﾀﾞｰｸﾈｽver.8.7,slot,3166,21.7,,
